"b","conv","Mavg","M2avg","T.J","chi"
0.833333333333333,5000,319244,20385144,1.2,0.00468149166666857
0.826446280991736,5000,318870,20338420,1.21,0.00724333677686391
0.819672131147541,5000,318812,20331216,1.22,0.00767861475409975
0.813008130081301,5000,318942,20347300,1.23,0.00635194918699406
0.806451612903226,5000,318760,20324392,1.24,0.00706774193548333
0.8,5000,318622,20307492,1.25,0.00874055799999951
0.793650793650794,5000,318638,20309284,1.26,0.00805801388889024
0.78740157480315,5000,318554,20298628,1.27,0.0081147066929133
0.78125,5000,318482,20289908,1.28,0.00915804492187533
0.775193798449612,5000,318482,20289804,1.29,0.00883511434108274
0.769230769230769,5000,318380,20277096,1.3,0.00944980769230706
0.763358778625954,5000,318284,20265096,1.31,0.00991190076336036
0.757575757575758,5000,317900,20217656,1.32,0.0131960227272707
0.75187969924812,5000,318076,20239624,1.33,0.0121138270676684
0.746268656716418,5000,318110,20243820,1.34,0.0117201026119435
0.740740740740741,5000,317812,20206488,1.35,0.0129503037037024
0.735294117647059,5000,317816,20207792,1.36,0.0146829705882332
0.72992700729927,5000,317242,20136652,1.37,0.0186010200729904
0.72463768115942,5000,317658,20187388,1.38,0.0137386938405834
0.719424460431655,5000,317228,20133792,1.39,0.0158974892086344
0.714285714285714,5000,317272,20139120,1.4,0.0152134000000004
0.709219858156028,5000,317180,20128464,1.41,0.0173615248226933
0.704225352112676,5000,316694,20068764,1.42,0.0214482235915515
0.699300699300699,5000,316698,20068700,1.43,0.0200510472027942
0.694444444444444,5000,316614,20058788,1.44,0.0214908871527777
0.689655172413793,5000,316492,20042440,1.45,0.0194025586206888
0.684931506849315,5000,316454,20038716,1.46,0.0215949845890404
0.680272108843537,5000,316122,19998292,1.47,0.0248048962585021
0.675675675675676,5000,315882,19968204,1.48,0.0251613496621638
0.671140939597315,5000,315858,19966380,1.49,0.0275267768456365
0.666666666666667,5000,315346,19905076,1.5,0.034283451666667
0.662251655629139,5000,315646,19940836,1.51,0.0297113758278117
0.657894736842105,5000,315056,19868264,1.52,0.0333210789473675
0.65359477124183,5000,315314,19897884,1.53,0.0271656062091487
0.649350649350649,5000,315312,19897464,1.54,0.0266488051948032
0.645161290322581,5000,314068,19751184,1.55,0.0472626516129033
0.641025641025641,5000,314350,19782524,1.56,0.038740985576925
0.636942675159236,5000,314700,19823032,1.57,0.0314769108280261
0.632911392405063,5000,314006,19738068,1.58,0.0358275174050645
0.628930817610063,5000,312716,19595160,1.59,0.0725248993710718
0.625,5000,313720,19703536,1.6,0.0380631249999963
0.62111801242236,5000,313352,19659848,1.61,0.0426102857142827
0.617283950617284,5000,313034,19618804,1.62,0.0400211589506157
0.613496932515337,5000,312736,19583008,1.63,0.0426511901840507
0.609756097560976,5000,312384,19544288,1.64,0.0524681951219507
0.606060606060606,5000,312044,19502376,1.65,0.0531901757575738
0.602409638554217,5000,310818,19361276,1.66,0.0747556009036151
0.598802395209581,5000,311572,19443032,1.67,0.0516649760479052
0.595238095238095,5000,311462,19431068,1.68,0.054599165178571
0.591715976331361,5000,310772,19351408,1.69,0.0657559230769206
0.588235294117647,5000,310906,19364596,1.7,0.0589849867647023
0.584795321637427,5000,310434,19309820,1.71,0.0657279400584798
0.581395348837209,5000,309602,19214556,1.72,0.0797171497093042
0.578034682080925,5000,310062,19260892,1.73,0.0599769349710944
0.574712643678161,5000,-248422,19073148,1.74,12.0877334468391
0.571428571428571,5000,-308512,19081232,1.75,0.0808949485714265
0.568181818181818,5000,-308584,19088128,1.76,0.0769016136363619
0.564971751412429,5000,-307470,18960748,1.77,0.0939050494350292
0.561797752808989,5000,-306988,18909808,1.78,0.107938151685392
0.558659217877095,5000,-305520,18759704,1.79,0.159235195530724
0.555555555555556,5000,-306652,18863304,1.8,0.0975940611111131
0.552486187845304,5000,-305620,18743896,1.81,0.10907997237569
0.549450549450549,5000,-305272,18707248,1.82,0.118559758241758
0.546448087431694,5000,-305268,18705696,1.83,0.11609568852459
0.543478260869565,5000,-302756,18461680,1.84,0.219838472826084
0.54054054054054,5000,-303236,18487368,1.85,0.163773075675675
0.537634408602151,5000,-302770,18418492,1.86,0.142065557795701
0.53475935828877,5000,-303220,18482152,1.87,0.156547994652409
0.531914893617021,5000,-301662,18294572,1.88,0.157213349734042
0.529100529100529,5000,-300716,18178520,1.89,0.15293893650794
0.526315789473684,5000,-299342,18056972,1.9,0.223429946052634
0.523560209424084,5000,-301472,18265320,1.91,0.144382596858639
0.520833333333333,5000,-152444,17934200,1.92,21.624943640625
0.518134715025907,5000,-298614,17956828,1.93,0.198775584196893
0.515463917525773,5000,-268330,17573716,1.94,5.11198166881443
0.512820512820513,5000,296446,17755484,1.95,0.287560603846151
0.510204081632653,5000,295174,17641060,1.96,0.343625549744898
0.50761421319797,5000,295728,17648520,1.97,0.24985723857868
0.505050505050505,5000,-267996,17357552,1.98,4.72408585353535
0.50251256281407,5000,-90718,17128332,1.99,24.3127840690955
0.5,5000,264246,17367436,2,5.31600983875
0.497512437810945,5000,293350,17379340,2.01,0.261964396766168
0.495049504950495,5000,286426,16777444,2.02,0.5715861769802
0.492610837438424,5000,-292772,17296008,2.03,0.2354051773399
0.490196078431373,5000,-288782,16907476,2.04,0.349980537990193
0.487804878048781,5000,-286584,16691216,2.05,0.404174068292682
0.485436893203884,5000,36908,16666440,2.06,24.8695386941748
0.483091787439614,5000,238126,16506068,2.07,7.79781042391305
0.480769230769231,5000,-283402,16416588,2.08,0.530723075721153
0.478468899521531,5000,-282688,16378416,2.09,0.591978066985646
0.476190476190476,5000,-12482,15900444,2.1,23.6150058559524
0.4739336492891,5000,94286,15937484,2.11,20.9708442547393
0.471698113207547,5000,177044,15281448,2.12,13.2849829198113
0.469483568075117,5000,-115622,15714244,2.13,19.1322691068075
0.467289719626168,5000,49818,15224852,2.14,21.5077181296729
0.465116279069767,5000,172014,14906484,2.15,13.065001105814
0.462962962962963,5000,-226180,15466384,2.16,7.57364803240741
0.460829493087558,5000,-115210,14214900,2.17,16.6477983582949
0.458715596330275,5000,156406,15001572,2.18,14.4911190263762
0.45662100456621,5000,52738,14745860,2.19,20.2477178527397
0.454545454545455,5000,56626,14445036,2.2,19.6075784443182
0.452488687782805,5000,-32150,14225156,2.21,19.8224427319005
0.450450450450451,5000,-102446,13959668,2.22,16.6957086385135
0.448430493273543,5000,237430,13900916,2.23,3.68037418721973
0.446428571428571,5000,127346,13367796,2.24,14.1244353470982
0.444444444444444,5000,24002,13272732,2.25,18.2743233322222
0.442477876106195,5000,109244,13087048,2.26,14.795627340708
0.440528634361233,5000,214428,13566168,2.27,6.01637467400881
0.43859649122807,5000,-160880,13269704,2.28,11.0926934210526
0.436681222707424,5000,80266,13017812,2.29,16.006121518559
0.434782608695652,5000,25684,11992072,2.3,16.1143185173913
0.432900432900433,5000,-74964,11659760,2.31,14.253029952381
0.431034482758621,5000,-67540,12648776,2.32,15.8087899784483
0.429184549356223,5000,59384,12201616,2.33,15.4188896309013
0.427350427350427,5000,-4372,11791624,2.34,15.7422557735043
0.425531914893617,5000,42462,10864764,2.35,13.9682974882979
0.423728813559322,5000,-52954,12561580,2.36,15.8908299480932
0.421940928270042,5000,-91836,10977664,2.37,12.2506511350211
0.420168067226891,5000,-24302,11169204,2.38,14.5103552510504
0.418410041841004,5000,34562,10848724,2.39,13.8726694968619
0.416666666666667,5000,-7152,11390704,2.4,14.8183252333333
0.4149377593361,5000,-21832,10165520,2.41,13.0578225560166
0.413223140495868,5000,-50070,10614244,2.42,13.0589398502066
0.411522633744856,5000,23168,10290488,2.43,13.0955976790123
0.409836065573771,5000,-4318,10603068,2.44,13.5749730727459
0.408163265306122,5000,-14796,9176680,2.45,11.6491016285714
0.40650406504065,5000,-34602,8683364,2.46,10.7265044705285
0.404858299595142,5000,69452,9542360,2.47,10.8522823117409
0.403225806451613,5000,13826,8758348,2.48,10.9880498296371
0.401606425702811,5000,-9096,8699632,2.49,10.8974454779116
0.4,5000,-846,8249252,2.5,10.311386071
0.398406374501992,5000,-30406,8462404,2.51,10.305651186255
0.396825396825397,5000,18268,8528184,2.52,10.4928571865079
0.395256916996047,5000,55822,9088604,2.53,10.456256006917
0.393700787401575,5000,-10764,8065104,2.54,9.89410834251968
0.392156862745098,5000,-7562,8208124,2.55,10.0449598421569
0.390625,5000,71166,7878652,2.56,8.38102061621094
0.389105058365759,5000,32410,7178052,2.57,8.47272662937743
0.387596899224806,5000,-19268,7660632,2.58,9.1889302751938
0.386100386100386,5000,-31284,7637696,2.59,8.97919675289575
0.384615384615385,5000,29814,7068828,2.6,8.28251572211538
0.383141762452107,5000,-4938,7148660,2.61,8.55338030555556
0.381679389312977,5000,12932,7079464,2.62,8.40412294274809
0.380228136882129,5000,-4304,6175000,2.63,7.33281263878327
0.378787878787879,5000,6570,6587396,2.64,7.78736152935606
0.377358490566038,5000,-3626,7327596,2.65,8.63793210471698
0.37593984962406,5000,-12724,6656192,2.66,7.78173398120301
0.374531835205993,5000,3212,6344472,2.67,7.42323105243446
0.373134328358209,5000,-15718,7050820,2.68,8.16395626772388
0.371747211895911,5000,-35234,5946700,2.69,6.61990363475836
0.37037037037037,5000,-12542,5666828,2.7,6.52241625833333
0.3690036900369,5000,-35028,6037904,2.71,6.67955701476015
0.367647058823529,5000,-38058,5266996,2.72,5.71842110202206
0.366300366300366,5000,-15500,5591432,2.73,6.34544642857143
0.364963503649635,5000,7610,5128652,2.74,5.83607388229927
0.363636363636364,5000,-2692,5732640,2.75,6.51271662181818
0.36231884057971,5000,6580,5475744,2.76,6.19008686594203
0.36101083032491,5000,-24470,4803316,2.77,5.28379943592058
0.359712230215827,5000,-13648,5463144,2.78,6.09924732374101
0.3584229390681,5000,330,4992948,2.79,5.59243528225806
0.357142857142857,5000,21708,4702680,2.8,5.14333989642857
0.355871886120996,5000,-21068,4719344,2.81,5.14965733451957
0.354609929078014,5000,-4276,4639408,2.82,5.13713559929078
0.353356890459364,5000,18604,4977904,2.83,5.42036466077738
0.352112676056338,5000,-22374,4456892,2.84,4.79398418221831
0.350877192982456,5000,3778,4734132,2.85,5.18780410438596
0.34965034965035,5000,9978,4791828,2.86,5.21406895017483
0.348432055749129,5000,-4514,4168444,2.87,4.53437365069686
0.347222222222222,5000,-10158,4540740,2.88,4.90462565885417
0.346020761245675,5000,-10340,4045512,2.89,4.35135043252595
0.344827586206897,5000,922,4285108,2.9,4.61739006810345
