"b","conv","Mavg","M2avg","T.J","chi"
0.833333333333333,1000,623196,388377360,1.2,0.00547411199998275
0.806451612903226,1000,622862,387961712,1.24,0.00598833032260274
0.78125,1000,622412,387402888,1.28,0.00773782000003109
0.757575757575758,1000,621438,386194304,1.32,0.01104988606056
0.735294117647059,1000,620504,385037064,1.36,0.0139411576470519
0.714285714285714,1000,619858,384237152,1.4,0.0150992411428368
0.694444444444444,1000,618740,382856120,1.44,0.0188137777777955
0.675675675675676,1000,617032,380751368,1.48,0.0247340281081709
0.657894736842105,1000,616416,379994208,1.52,0.0268662568421525
0.641025641025641,1000,614064,377107736,1.56,0.0339896451282293
0.625,1000,612842,375614400,1.6,0.0390830359999939
0.609756097560976,1000,608746,370641904,1.64,0.0684990087804857
0.595238095238095,1000,607230,368807680,1.68,0.0756258095238747
0.581395348837209,1000,604628,365673216,1.72,0.0913466195348773
0.568181818181818,1000,602176,362723472,1.76,0.0977609309090481
0.555555555555556,1000,597424,357051696,1.8,0.121120199111083
0.543478260869565,1000,594214,353282576,1.84,0.167215829565214
0.531914893617021,1000,588406,346387608,1.88,0.141265671489338
0.520833333333333,1000,583480,340705808,1.92,0.214081333333323
0.510204081632653,1000,575830,331973856,1.96,0.32136089795915
0.5,1000,570324,325774224,2,0.403807219200019
0.490196078431373,1000,564060,318572856,2.04,0.320919529411784
0.480769230769231,1000,554078,307618880,2.08,0.474192243076907
0.471698113207547,1000,540142,292586624,2.12,0.62886327245281
0.462962962962963,1000,524124,276116904,2.16,1.04513824
0.454545454545455,1000,506576,259103520,2.2,1.80674634472728
0.446428571428571,1000,442202,203258416,2.24,5.51129085428571
0.43859649122807,1000,415622,180548792,2.28,5.47869832701754
0.431034482758621,1000,177934,71809584,2.32,27.6890176855172
0.423728813559322,1000,153134,111499120,2.36,59.6943037586441
0.416666666666667,1000,88756,43263416,2.4,23.5905256426667
0.409836065573771,1000,-59730,45692456,2.44,27.6228085901639
0.403225806451613,1000,-13546,52924512,2.48,34.0264631509677
0.396825396825397,1000,80998,20523776,2.52,8.86546031492063
0.390625,1000,-64214,17614696,2.56,8.4320363775
0.384615384615385,1000,-12458,19444456,2.6,11.8703102990769
0.378787878787879,1000,-20572,26615872,2.64,15.8743423127273
0.373134328358209,1000,-69774,19184824,2.68,8.54711219343284
0.367647058823529,1000,20310,12613440,2.72,7.17702582352941
0.36231884057971,1000,45536,12575536,2.76,6.08812098782609
0.357142857142857,1000,1572,10029008,2.8,5.72944960914286
0.352112676056338,1000,-23174,7674496,2.84,4.02110519661972
0.347222222222222,1000,3222,8833000,2.88,4.90145484222222
0.342465753424658,1000,25246,9976840,2.92,5.11752300493151
0.337837837837838,1000,3004,7671904,2.96,4.14209728864865
0.333333333333333,1000,26804,9467096,3,4.66594217813333
0.328947368421053,1000,-8668,6127464,3.04,3.18543672421053
0.324675324675325,1000,-19148,5219472,3.08,2.5209486212987
0.32051282051282,1000,6480,6220760,3.12,3.16859979487179
0.316455696202532,1000,20814,5294280,3.16,2.46129488810127
0.3125,1000,-2860,4589544,3.2,2.2906822
0.308641975308642,1000,-11802,5580488,3.24,2.68701273876543
0.304878048780488,1000,17710,4754016,3.28,2.16603507317073
0.301204819277108,1000,14652,3741888,3.32,1.69985874506024
0.297619047619048,1000,-7932,4411024,3.36,2.07052732190476
0.294117647058823,1000,9256,4562016,3.4,2.10651410070588
0.290697674418605,1000,-8514,3718760,3.44,1.69594037395349
0.28735632183908,1000,-4918,3728840,3.48,1.70328886252874
0.284090909090909,1000,-8400,3602936,3.52,1.60562545454545
0.280898876404494,1000,-2044,3113176,3.56,1.39730250067416
0.277777777777778,1000,-4926,3664832,3.6,1.61802956622222
0.274725274725275,1000,3296,3835168,3.64,1.68101291604396
0.271739130434783,1000,-3694,3214536,3.68,1.3916914626087
0.268817204301075,1000,490,2824416,3.72,1.21469931182796
0.265957446808511,1000,-4650,2908288,3.76,1.22836829787234
0.263157894736842,1000,-5588,3134384,3.8,1.30659294989474
