"beta","M"
2,0.2
1.66666666666667,-0.2
1.42857142857143,0.445
1.25,-1
1.11111111111111,-1
1,-1
0.909090909090909,1
0.833333333333333,1
0.769230769230769,-0.99
0.714285714285714,-0.995
0.666666666666667,-0.955
0.625,-0.985
0.588235294117647,0.98
0.555555555555556,-0.955
0.526315789473684,-0.945
0.5,0.96
0.476190476190476,-0.895
0.454545454545455,0.835
0.434782608695652,-0.36
0.416666666666667,0.145
0.4,-0.12
0.384615384615385,0.28
0.37037037037037,-0.17
0.357142857142857,-0.03
0.344827586206897,-0.455
0.333333333333333,0.215
0.32258064516129,-0.19
0.3125,0.035
0.303030303030303,0.175
0.294117647058823,0.085
0.285714285714286,0.18
0.277777777777778,0.09
0.27027027027027,-0.17
0.263157894736842,0
0.256410256410256,-0.015
0.25,0.1
0.24390243902439,-0.025
0.238095238095238,-0.005
0.232558139534884,0.065
0.227272727272727,-0.05
0.222222222222222,0.07
0.217391304347826,-0.085
0.212765957446809,-0.115
0.208333333333333,-0.03
0.204081632653061,0.05
0.2,0.015
