"beta","M"
2,1
1.66666666666667,1
1.42857142857143,-1
1.25,-1
1.11111111111111,1
1,-1
0.909090909090909,-1
0.833333333333333,1
0.769230769230769,0.96
0.714285714285714,-1
0.666666666666667,0.98
0.625,0.96
0.588235294117647,0.98
0.555555555555556,-1
0.526315789473684,0.84
0.5,-0.98
0.476190476190476,0.9
0.454545454545455,-0.9
0.434782608695652,0.78
0.416666666666667,-0.74
0.4,0.9
0.384615384615385,-0.16
0.37037037037037,0.1
0.357142857142857,-0.24
0.344827586206897,0.34
0.333333333333333,-0.26
0.32258064516129,0.1
0.3125,-0.22
0.303030303030303,0.08
0.294117647058823,0.18
0.285714285714286,-0.02
0.277777777777778,0.14
0.27027027027027,0.4
0.263157894736842,0.48
0.256410256410256,-0.04
0.25,0.24
0.24390243902439,0.38
0.238095238095238,0.06
0.232558139534884,0.16
0.227272727272727,0.2
0.222222222222222,-0.02
0.217391304347826,0.36
0.212765957446809,0
0.208333333333333,-0.02
0.204081632653061,0.14
0.2,-0.04
