"b","conv","Mavg","M2avg","T.J","chi"
0.833333333333333,100,244048,603628360,1.2,6.69508080000005
0.819672131147541,100,308208,952059816,1.22,1.75254373770487
0.806451612903226,100,375730,1415730540,1.24,3.22597661290325
0.793650793650794,100,521552,2723503176,1.26,2.64943568253986
0.78125,100,675662,4573235956,1.28,6.28482309375045
0.769230769230769,100,781574,6113440796,1.3,3.739708646154
0.757575757575758,100,885368,7841722520,1.32,2.24058012121201
0.746268656716418,100,991844,9837668400,1.34,0.0919377910454997
0.735294117647059,100,992526,9851103316,1.36,0.0181685588238585
0.72463768115942,100,992182,9844272924,1.38,0.0157338840585578
0.714285714285714,100,992056,9841770328,1.4,0.0137547428572101
0.704225352112676,100,990126,9803527068,1.42,0.0226121408443977
0.694444444444444,100,990164,9804270560,1.44,0.0160354444447977
0.684931506849315,100,988670,9774713124,1.46,0.0201609589043671
0.675675675675676,100,988024,9761957704,1.48,0.0293636756764868
0.666666666666667,100,986828,9738340880,1.5,0.0305761066665582
0.657894736842105,100,985766,9717374804,1.52,0.018905552631048
0.649350649350649,100,984214,9686801180,1.54,0.0189623636370842
0.641025641025641,100,982892,9660795720,1.56,0.0185149743594173
0.632911392405063,100,981262,9628799580,1.58,0.0306668101270761
0.625,100,979656,9597326896,1.6,0.0425704000008409
0.617283950617284,100,978232,9569458544,1.62,0.0494356543202701
0.609756097560976,100,976190,9529540012,1.64,0.043201829267429
0.602409638554217,100,974044,9487700280,1.66,0.0500847228911617
0.595238095238095,100,972436,9456390520,1.68,0.0433208571437371
0.588235294117647,100,969704,9403389008,1.7,0.0767834352946546
0.581395348837209,100,968190,9374012748,1.72,0.05464360465022
0.574712643678161,100,963210,9277859812,1.74,0.0717074712647654
0.568181818181818,100,963728,9287929216,1.76,0.120816000000187
0.561797752808989,100,958134,9180488012,1.78,0.157523842696382
0.555555555555556,100,956472,9148613928,1.8,0.126144533334001
0.549450549450549,100,953592,9093704568,1.82,0.179968879120469
0.543478260869565,100,951050,9045149772,1.84,0.102579891304429
0.537634408602151,100,948004,8987356008,1.86,0.129122494623731
0.531914893617021,100,943760,8907081048,1.88,0.133868085106556
0.526315789473684,100,938838,8814373908,1.9,0.108423978947126
0.520833333333333,100,936218,8765370580,1.92,0.171429562500218
0.515463917525773,100,927248,8598464072,1.94,0.296668536083013
0.510204081632653,100,927584,8604569288,1.96,0.228835428571278
0.505050505050505,100,918140,8430470592,1.98,0.333331313131474
0.5,100,912672,8330394024,2,0.346114080000007
0.495049504950495,100,905842,8206237076,2.02,0.366230871287092
0.490196078431373,100,902804,8151061936,2.04,0.250643058823734
0.485436893203884,100,897240,8050863920,2.06,0.227060194174555
0.480769230769231,100,882584,7790564992,2.08,0.490298769230654
0.476190476190476,100,869696,7565435192,2.1,0.820889447619006
0.471698113207547,100,848486,7203064988,2.12,1.78305001886785
0.467289719626168,100,842642,7101630380,2.14,0.549055308411141
0.462962962962963,100,834882,6971844212,2.16,0.724385537036883
0.458715596330275,100,829306,6881115988,2.18,1.66585855045848
0.454545454545455,100,786710,6192007852,2.2,1.30982318181809
0.450450450450451,100,762746,5821442228,2.22,1.63406434234243
0.446428571428571,100,774610,6005255548,2.24,2.2540299107143
0.442477876106195,100,735782,5420180380,2.26,2.84463042477861
0.43859649122807,100,649648,4225096072,2.28,2.04861094736866
0.434782608695652,100,522178,2737020068,2.3,4.48757876521738
0.431034482758621,100,564648,3203378472,2.32,6.5107038620689
0.427350427350427,100,430620,1860155056,2.34,2.48684273504278
0.423728813559322,100,234408,556397896,2.36,2.93508108474573
0.420168067226891,100,106246,135963676,2.38,9.69813060504201
0.416666666666667,100,-68538,53981692,2.4,2.91963231666667
0.413223140495868,100,-62104,61846328,2.42,9.61870241322314
0.409836065573771,100,-160016,273303536,2.44,7.07062845901641
0.40650406504065,100,-61572,45011840,2.46,2.88647486178862
0.403225806451613,100,-126136,169353408,2.48,4.13326735483871
0.4,100,-100122,117246308,2.5,6.800863664
0.396825396825397,100,-61750,49269388,2.52,4.42014404761905
0.393700787401575,100,38840,32278528,2.54,6.76892598425197
0.390625,100,51140,37002752,2.56,4.2381859375
0.387596899224806,100,-82318,101307860,2.58,13.0020654108527
0.384615384615385,100,-33678,17145228,2.6,2.23198121538461
0.381679389312977,100,3678,8867748,2.62,3.33300425954199
0.378787878787879,100,-1278,11855044,2.64,4.48436028787879
0.37593984962406,100,-53876,34672128,2.66,2.12251663157895
0.373134328358209,100,25100,14914112,2.68,3.21418358208955
0.37037037037037,100,-47788,46028152,2.7,8.58934168888889
0.367647058823529,100,-7570,5573356,2.72,1.83834816176471
0.364963503649635,100,-26038,32541348,2.74,9.4020341459854
0.36231884057971,100,-59074,48327284,2.76,4.86590914492754
0.359712230215827,100,26434,21716460,2.78,5.29816418705036
0.357142857142857,100,-18354,14506956,2.8,3.97795101428571
0.354609929078014,100,13420,13431704,2.82,4.12437588652482
0.352112676056338,100,24506,19270620,2.84,4.67083790140845
0.34965034965035,100,4472,8399832,2.86,2.86707837762238
0.347222222222222,100,-1426,3795348,2.88,1.31076848611111
0.344827586206897,100,51220,39248304,2.9,4.48738620689655
0.342465753424658,100,-4114,5247364,2.92,1.73908015068493
0.340136054421769,100,16790,8797340,2.94,2.03343503401361
0.337837837837838,100,29336,14708056,2.96,2.06150237837838
0.335570469798658,100,-4084,5637976,2.98,1.83596826845638
0.333333333333333,100,39090,21970180,3,2.22996633333333
0.33112582781457,100,8814,8208676,3.02,2.46086425165563
0.328947368421053,100,3848,5553288,3.04,1.77803189473684
0.326797385620915,100,7030,6455132,3.06,1.94801405228758
0.324675324675325,100,-8850,7313212,3.08,2.12012564935065
0.32258064516129,100,-3504,8221312,3.1,2.61242962580645
0.32051282051282,100,11992,17072808,3.12,5.01113056410256
0.318471337579618,100,-16698,7034324,3.14,1.35225858598726
0.316455696202532,100,-7942,4321516,3.16,1.1679627721519
0.314465408805031,100,-614,7199284,3.18,2.26274026415094
0.3125,100,-6388,5303336,3.2,1.52977205
0.31055900621118,100,-8950,6500092,3.22,1.76989658385093
0.308641975308642,100,-2576,7001488,3.24,2.1404722962963
0.306748466257669,100,-3710,9510068,3.26,2.87497760736196
0.304878048780488,100,-6240,7054736,3.28,2.03212195121951
0.303030303030303,100,-7174,8744364,3.3,2.49384886060606
0.301204819277108,100,-3966,3919404,3.32,1.13316639759036
0.29940119760479,100,-4024,4041336,3.34,1.16150007185629
0.297619047619048,100,-562,8266948,3.36,2.45946117857143
0.29585798816568,100,12864,6715816,3.38,1.49733462721893
0.294117647058823,100,-16194,9309108,3.4,1.96666224705882
0.292397660818713,100,-18342,8587004,3.42,1.5271094619883
0.290697674418605,100,11960,9067512,3.44,2.22008604651163
0.289017341040462,100,-7364,5174248,3.46,1.3387176416185
0.28735632183908,100,-14622,9090796,3.48,1.99792159770115
0.285714285714286,100,-7096,6908120,3.5,1.82988224
0.284090909090909,100,-6250,7265860,3.52,1.95319176136364
0.282485875706215,100,-7734,5007588,3.54,1.2456046440678
0.280898876404494,100,-6092,9583184,3.56,2.58765712359551
0.279329608938547,100,20684,9228912,3.58,1.3828585027933
0.277777777777778,100,2168,5899376,3.6,1.62565937777778
0.276243093922652,100,10444,6379912,3.62,1.46108857458564
0.274725274725275,100,-1742,6375876,3.64,1.74327757142857
0.273224043715847,100,12630,5874932,3.66,1.16933415300546
0.271739130434783,100,8222,6438612,3.68,1.56592368478261
0.27027027027027,100,5162,4218148,3.7,1.06802312432432
0.268817204301075,100,4164,2977520,3.72,0.753798666666667
0.267379679144385,100,-3558,6040404,3.74,1.58123271657754
0.265957446808511,100,-3362,3685068,3.76,0.950009989361702
0.264550264550265,100,-1504,8281200,3.78,2.18480948148148
0.263157894736842,100,2932,2533944,3.8,0.644204673684211
