"b","conv","Mavg","M2avg","T.J","chi"
0.833333333333333,1500,-934794,582566284,1.2,0.00569100088891143
0.806451612903226,1500,-934018,581601388,1.24,0.00714418695334614
0.78125,1500,-933368,580794300,1.28,0.00868143111105724
0.757575757575758,1500,-931650,578663956,1.32,0.0130432323232705
0.735294117647059,1500,-930756,577556788,1.36,0.0148760596078666
0.714285714285714,1500,-929220,575655940,1.4,0.0173214476190456
0.694444444444444,1500,-927560,573604316,1.44,0.0192199506172762
0.675675675675676,1500,-925714,571336756,1.48,0.0282158337537677
0.657894736842105,1500,-923564,568701252,1.52,0.0380893118128705
0.641025641025641,1500,-921352,565977772,1.56,0.0351681349287994
0.625,1500,-918718,562749884,1.6,0.0364722115555338
0.609756097560976,1500,-915946,559372524,1.64,0.0441023670460465
0.595238095238095,1500,-910730,553053404,1.68,0.0639039576719418
0.581395348837209,1500,-907922,549662308,1.72,0.0707406371059622
0.568181818181818,1500,-900910,541247060,1.76,0.0936411717171898
0.555555555555556,1500,-896624,536135132,1.8,0.105916295901238
0.543478260869565,1500,-891448,530012764,1.84,0.131249969468582
0.531914893617021,1500,-881396,518244668,1.88,0.192186547139483
0.520833333333333,1500,-873054,508513788,1.92,0.202738919999964
0.510204081632653,1500,-863344,497408460,1.96,0.272046318004567
0.5,1500,-855580,488751372,2,0.394638791111163
0.490196078431373,1500,-840662,472060436,2.04,0.480368019520687
0.480769230769231,1500,-830752,461293180,2.08,0.61226820376069
0.471698113207547,1500,-802484,431206372,2.12,0.948926706582814
0.462962962962963,1500,-778710,407809444,2.16,1.75305412345679
0.454545454545455,1500,-764384,392575812,2.2,1.48066862028282
0.446428571428571,1500,479758,254509316,2.24,48.1257890273016
0.43859649122807,1500,-586088,249056748,2.28,9.38354097653021
0.431034482758621,1500,431760,173461300,2.32,22.613104183908
0.423728813559322,1500,-458600,159363180,2.36,8.65711789077213
0.416666666666667,1500,313514,113442148,2.4,21.2954648308148
0.409836065573771,1500,-171330,90625868,2.44,31.0629750382514
0.403225806451613,1500,-50212,54514804,2.48,22.7242899085305
0.396825396825397,1500,-129382,69650996,2.52,24.7581776581305
0.390625,1500,80740,46836020,2.56,17.7041895555556
0.384615384615385,1500,7692,45701908,2.6,18.7333183277949
0.378787878787879,1500,-51816,26145628,2.64,9.84068529131313
0.373134328358209,1500,-9658,21572404,2.68,8.56128133625207
0.367647058823529,1500,4126,20800428,2.72,8.15257990169935
0.36231884057971,1500,6540,16744532,2.76,6.46029665700483
0.357142857142857,1500,30062,15844252,2.8,5.80638835707937
0.352112676056338,1500,-15692,16424924,2.84,6.10732948632238
0.347222222222222,1500,20728,12212572,2.88,4.41708839901235
0.342465753424658,1500,-14338,13949396,2.92,5.04560505473364
0.337837837837838,1500,-22584,11745164,2.96,4.10996010666667
0.333333333333333,1500,-13438,9730556,3,3.41694913327407
0.328947368421053,1500,-568,10279260,3.04,3.6066824271345
0.324675324675325,1500,-36316,10690540,3.08,3.39785469414141
0.32051282051282,1500,12690,9592964,3.12,3.24294242735043
0.316455696202532,1500,-15258,7260268,3.16,2.39833371274262
0.3125,1500,19538,8678948,3.2,2.80815301244444
0.308641975308642,1500,-130,7500220,3.24,2.469204521262
0.304878048780488,1500,-3996,6510916,3.28,2.11390915642276
0.301204819277108,1500,-19680,8473588,3.32,2.63948157429719
0.297619047619048,1500,28714,7285900,3.36,2.13848808550265
0.294117647058823,1500,-2496,6267692,3.4,1.96503173521569
0.290697674418605,1500,-3512,5449516,3.44,1.68722270925065
0.28735632183908,1500,-404,5929100,3.48,1.81731530707535
0.284090909090909,1500,-422,4786012,3.52,1.45027069010101
0.280898876404494,1500,-11558,4744524,3.56,1.39489610706617
0.277777777777778,1500,-8722,5694772,3.6,1.67231303032099
0.274725274725275,1500,-3466,5165612,3.64,1.5113855617094
0.271739130434783,1500,4622,4810572,3.68,1.3902406021256
0.268817204301075,1500,-8398,4878868,3.72,1.38547681643967
0.265957446808511,1500,6968,5166060,3.76,1.45636633115839
0.263157894736842,1500,1862,4315156,3.8,1.21062305609357
