"beta","T.J","J","N","conv","M","M2","chi"
2,0.5,1,10,20000,100,100,0
1.81818181818182,0.55,1,10,20000,100,100,0
1.66666666666667,0.6,1,10,20000,100,100,0
1.53846153846154,0.65,1,10,20000,100,100,0
1.42857142857143,0.7,1,10,20000,100,100,0
1.33333333333333,0.75,1,10,20000,100,100,0
1.25,0.8,1,10,20000,100,100,0
1.17647058823529,0.85,1,10,20000,100,100,0
1.11111111111111,0.9,1,10,20000,100,100,0
1.05263157894737,0.95,1,10,20000,100,100,0
1,1,1,10,20000,100,100,0
0.952380952380952,1.05,1,10,20000,100,100,0
0.909090909090909,1.1,1,10,20000,98,100,3.95999999999999
0.869565217391304,1.15,1,10,20000,100,100,0
0.833333333333333,1.2,1,10,20000,100,100,0
0.8,1.25,1,10,20000,100,100,0
0.769230769230769,1.3,1,10,20000,100,100,0
0.740740740740741,1.35,1,10,20000,100,100,0
0.714285714285714,1.4,1,10,20000,100,100,0
0.689655172413793,1.45,1,10,20000,100,100,0
0.666666666666667,1.5,1,10,20000,98,100,3.95999999999999
0.645161290322581,1.55,1,10,20000,100,100,0
0.625,1.6,1,10,20000,98,100,3.95999999999999
0.606060606060606,1.65,1,10,20000,96,100,7.84
0.588235294117647,1.7,1,10,20000,100,100,0
0.571428571428571,1.75,1,10,20000,94,100,11.64
0.555555555555556,1.8,1,10,20000,94,100,11.64
0.54054054054054,1.85,1,10,20000,88,100,22.56
0.526315789473684,1.9,1,10,20000,98,100,3.95999999999999
0.512820512820513,1.95,1,10,20000,96,100,7.84
0.5,2,1,10,20000,92,100,15.36
0.487804878048781,2.05,1,10,20000,-86,100,26.04
0.476190476190476,2.1,1,10,20000,-74,100,45.24
0.465116279069767,2.15,1,10,20000,-88,100,22.56
0.454545454545455,2.2,1,10,20000,-86,100,26.04
0.444444444444444,2.25,1,10,20000,84,100,29.44
0.434782608695652,2.3,1,10,20000,-88,100,22.56
0.425531914893617,2.35,1,10,20000,92,100,15.36
0.416666666666667,2.4,1,10,20000,-34,100,88.44
0.408163265306122,2.45,1,10,20000,58,100,66.36
0.4,2.5,1,10,20000,92,100,15.36
0.392156862745098,2.55,1,10,20000,52,100,72.96
0.384615384615385,2.6,1,10,20000,42,100,82.36
0.377358490566038,2.65,1,10,20000,48,100,76.96
0.37037037037037,2.7,1,10,20000,-74,100,45.24
0.363636363636364,2.75,1,10,20000,42,100,82.36
0.357142857142857,2.8,1,10,20000,-32,100,89.76
0.350877192982456,2.85,1,10,20000,2,100,99.96
0.344827586206897,2.9,1,10,20000,-6,100,99.64
0.338983050847458,2.95,1,10,20000,-14,100,98.04
0.333333333333333,3,1,10,20000,-28,100,92.16
0.327868852459016,3.05,1,10,20000,34,100,88.44
0.32258064516129,3.1,1,10,20000,8,100,99.36
0.317460317460317,3.15,1,10,20000,-12,100,98.56
0.3125,3.2,1,10,20000,-4,100,99.84
0.307692307692308,3.25,1,10,20000,-28,100,92.16
0.303030303030303,3.3,1,10,20000,22,100,95.16
0.298507462686567,3.35,1,10,20000,-40,100,84
0.294117647058823,3.4,1,10,20000,26,100,93.24
0.289855072463768,3.45,1,10,20000,26,100,93.24
0.285714285714286,3.5,1,10,20000,-48,100,76.96
0.28169014084507,3.55,1,10,20000,24,100,94.24
0.277777777777778,3.6,1,10,20000,34,100,88.44
0.273972602739726,3.65,1,10,20000,-30,100,91
0.27027027027027,3.7,1,10,20000,10,100,99
0.266666666666667,3.75,1,10,20000,22,100,95.16
0.263157894736842,3.8,1,10,20000,-22,100,95.16
0.25974025974026,3.85,1,10,20000,2,100,99.96
0.256410256410256,3.9,1,10,20000,22,100,95.16
0.253164556962025,3.95,1,10,20000,-10,100,99
0.25,4,1,10,20000,-2,100,99.96
