"beta","M"
2,-0.135
1.66666666666667,1
1.42857142857143,1
1.25,-0.125
1.11111111111111,-1
1,0.995
0.909090909090909,-1
0.833333333333333,-0.995
0.769230769230769,-0.025
0.714285714285714,-0.995
0.666666666666667,0.975
0.625,-0.975
0.588235294117647,0.96
0.555555555555556,0.925
0.526315789473684,0.95
0.5,0.94
0.476190476190476,-0.95
0.454545454545455,-0.67
0.434782608695652,0.67
0.416666666666667,-0.545
0.4,-0.335
0.384615384615385,-0.355
0.37037037037037,0.215
0.357142857142857,0.015
0.344827586206897,-0.265
0.333333333333333,-0.08
0.32258064516129,-0.14
0.3125,0.02
0.303030303030303,0.135
0.294117647058823,-0.04
0.285714285714286,-0.3
0.277777777777778,0.035
0.27027027027027,-0.055
0.263157894736842,0.18
0.256410256410256,0.145
0.25,-0.245
0.24390243902439,-0.055
0.238095238095238,-0.025
0.232558139534884,-0.06
0.227272727272727,-0.055
0.222222222222222,-0.05
0.217391304347826,0.01
0.212765957446809,-0.135
0.208333333333333,-0.105
0.204081632653061,-0.08
0.2,-0.125
