"beta","M"
2,-1
1.66666666666667,1
1.42857142857143,0.01375
1.25,-1
1.11111111111111,1
1,-0.99875
0.909090909090909,0.48875
0.833333333333333,0.99
0.769230769230769,-0.11375
0.714285714285714,-0.07625
0.666666666666667,-0.3925
0.625,-0.98125
0.588235294117647,-0.9775
0.555555555555556,-0.95
0.526315789473684,0.95125
0.5,-0.92625
0.476190476190476,-0.8575
0.454545454545455,0.84625
0.434782608695652,0.53125
0.416666666666667,-0.21
0.4,0.25875
0.384615384615385,0.05
0.37037037037037,-0.1125
0.357142857142857,0.10625
0.344827586206897,0.02625
0.333333333333333,0.05375
0.32258064516129,0.00625
0.3125,-0.01375
0.303030303030303,-0.095
0.294117647058823,-0.01
0.285714285714286,-0.0575
0.277777777777778,-0.0275
0.27027027027027,0.09375
0.263157894736842,0.06625
0.256410256410256,-0.05125
0.25,0.055
0.24390243902439,0.01875
0.238095238095238,-0.04625
0.232558139534884,-0.0725
0.227272727272727,-0.02375
0.222222222222222,0.04125
0.217391304347826,0.0075
0.212765957446809,-0.03625
0.208333333333333,0.0175
0.204081632653061,-0.05875
0.2,-0.01
