"b","conv","Mavg","M2avg","T.J","chi"
2,400,-18716,920176,0.5,2.222718
1.66666666666667,400,-3060,97704,0.6,3.095625
1.42857142857143,400,4792,157736,0.7,3.58313714285714
1.25,400,3852,191456,0.8,4.82378875
1.11111111111111,400,5924,302320,0.9,5.96071
1,400,1524,211216,1,5.135239
0.909090909090909,400,-304,229392,1.1,5.20820363636364
0.833333333333333,400,-2954,181556,1.2,3.32793145833333
0.769230769230769,400,1160,224176,1.3,4.24638461538462
0.714285714285714,400,120,190008,1.4,3.39235714285714
0.666666666666667,400,188,176272,1.5,2.936394
0.625,400,1502,117396,1.6,1.74618734375
0.588235294117647,400,-188,134704,1.7,1.97964176470588
0.555555555555556,400,1248,111584,1.8,1.49569777777778
0.526315789473684,400,872,108688,1.9,1.40509263157895
0.5,400,-546,103828,2,1.288533875
0.476190476190476,400,-214,102164,2.1,1.21487511904762
0.454545454545455,400,-556,99768,2.2,1.124945
0.434782608695652,400,258,91572,2.3,0.99353902173913
0.416666666666667,400,-232,93224,2.4,0.969681666666667
0.4,400,1480,102432,2.5,0.96956
0.384615384615385,400,-786,81900,2.6,0.772649134615385
0.37037037037037,400,432,78904,2.7,0.726272592592593
0.357142857142857,400,500,80720,2.8,0.715133928571428
0.344827586206897,400,-474,77772,2.9,0.665606120689655
0.333333333333333,400,-964,81280,3,0.657973
0.32258064516129,400,210,75628,3.1,0.609014112903226
0.3125,400,-442,80780,3.2,0.627278046875
0.303030303030303,400,216,77352,3.3,0.585116363636364
0.294117647058823,400,-98,68764,3.4,0.505441102941176
0.285714285714286,400,-844,61504,3.5,0.426594
0.277777777777778,400,822,75188,3.6,0.510408263888889
0.27027027027027,400,-2,67140,3.7,0.453648581081081
0.263157894736842,400,28,75280,3.8,0.495250263157895
0.256410256410256,400,420,76152,3.9,0.485326923076923
0.25,400,370,66188,4,0.4115359375
0.24390243902439,400,-166,65548,4.1,0.399262865853659
0.238095238095238,400,704,52536,4.2,0.305339047619048
0.232558139534884,400,-408,62136,4.3,0.358836279069767
0.227272727272727,400,734,63956,4.4,0.355733579545455
0.222222222222222,400,-598,60428,4.5,0.330744388888889
0.217391304347826,400,460,60880,4.6,0.327994565217391
0.212765957446809,400,-438,53020,4.7,0.279470159574468
0.208333333333333,400,-398,61548,4.8,0.318499947916667
0.204081632653061,400,-202,59844,4.9,0.304806071428571
0.2,400,406,63828,5,0.31707955
0.196078431372549,400,84,56264,5.1,0.275717450980392
0.192307692307692,400,284,51304,5.2,0.245684423076923
0.188679245283019,400,-186,63860,5.3,0.300818443396226
0.185185185185185,400,-512,62736,5.4,0.28741037037037
0.181818181818182,400,-280,51840,5.5,0.234745454545455
0.178571428571429,400,-160,55656,5.6,0.248178571428571
0.175438596491228,400,206,58532,5.7,0.25625399122807
0.172413793103448,400,252,57088,5.8,0.245384655172414
0.169491525423729,400,-46,49876,5.9,0.21131656779661
0.166666666666667,400,-220,59840,6,0.248829166666667
0.163934426229508,400,614,54980,6.1,0.221465204918033
0.161290322580645,400,-92,56592,6.2,0.228108225806452
0.158730158730159,400,208,47256,6.3,0.187094603174603
0.15625,400,-174,51372,6.4,0.2003762109375
0.153846153846154,400,686,50572,6.5,0.189982730769231
0.151515151515151,400,134,52596,6.6,0.199057234848485
0.149253731343284,400,-264,51720,6.7,0.192334925373134
0.147058823529412,400,218,54004,6.8,0.198107316176471
0.144927536231884,400,-320,56296,6.9,0.20304347826087
0.142857142857143,400,-50,47500,7,0.169620535714286
0.140845070422535,400,158,49852,7.1,0.175315457746479
0.138888888888889,400,-100,49360,7.2,0.171302083333333
0.136986301369863,400,108,47784,7.3,0.16354397260274
0.135135135135135,400,130,61596,7.4,0.207951858108108
0.133333333333333,400,378,52412,7.5,0.173515966666667
0.131578947368421,400,-52,58144,7.6,0.191240921052632
0.12987012987013,400,200,48840,7.7,0.158246753246753
0.128205128205128,400,72,54432,7.8,0.17442
0.126582278481013,400,-414,49988,7.9,0.156833892405063
0.125,400,292,47192,8,0.146808875
0.123456790123457,400,-338,48284,8.1,0.148143179012346
0.121951219512195,400,244,46064,8.2,0.139985243902439
0.120481927710843,400,382,43188,8.3,0.128985512048193
0.119047619047619,400,-188,51744,8.4,0.153737023809524
0.117647058823529,400,-356,51448,8.5,0.150385764705882
0.116279069767442,400,-432,51432,8.6,0.148155348837209
0.114942528735632,400,-320,46376,8.7,0.132528735632184
0.113636363636364,400,88,54928,8.8,0.155990454545455
0.112359550561798,400,342,51220,8.9,0.143055028089888
0.111111111111111,400,314,47196,9,0.130415305555556
0.10989010989011,400,66,53380,9.1,0.146618434065934
0.108695652173913,400,-362,45804,9.2,0.12357714673913
0.10752688172043,400,384,53296,9.3,0.142277849462366
0.106382978723404,400,-88,46592,9.4,0.123863404255319
0.105263157894737,400,-128,49208,9.5,0.129386947368421
0.104166666666667,400,108,50960,9.6,0.132632395833333
0.103092783505155,400,-412,44840,9.7,0.114473298969072
0.102040816326531,400,-294,45564,9.8,0.115683443877551
0.101010101010101,400,398,41948,9.9,0.104929267676768
0.1,400,656,43952,10,0.1071904
0.099009900990099,400,266,44348,10.1,0.109334430693069
0.0980392156862745,400,-324,46152,10.2,0.112474411764706
0.0970873786407767,400,-226,44748,10.3,0.108301723300971
0.0961538461538461,400,-148,48088,10.4,0.115464519230769
0.0952380952380952,400,-658,47332,10.5,0.110118071428571
0.0943396226415094,400,240,47560,10.6,0.111830188679245
0.0934579439252336,400,196,47336,10.7,0.110373738317757
0.0925925925925926,400,-18,56116,10.8,0.129896273148148
0.091743119266055,400,-176,45152,10.9,0.103382018348624
0.0909090909090909,400,270,48428,11,0.109649431818182
0.0900900900900901,400,-376,48200,11.1,0.107762522522522
0.0892857142857143,400,-52,46136,11.2,0.102967053571429
0.0884955752212389,400,250,43228,11.3,0.095291482300885
0.087719298245614,400,156,50208,11.4,0.109971842105263
0.0869565217391304,400,8,47784,11.5,0.103877913043478
0.0862068965517241,400,124,48400,11.6,0.1042275
0.0854700854700855,400,494,49156,11.7,0.103730576923077
0.0847457627118644,400,-462,52204,11.8,0.109471165254237
0.0840336134453781,400,740,46960,11.9,0.0957794117647059
0.0833333333333333,400,-234,47988,12,0.0996898125
0.0826446280991735,400,-242,49124,12.1,0.101193367768595
