"beta","M"
2,-1
1.66666666666667,-1
1.42857142857143,-1
1.25,-0.99875
1.11111111111111,-1
1,-0.99875
0.909090909090909,-0.9975
0.833333333333333,-0.995
0.769230769230769,-0.99625
0.714285714285714,-0.99375
0.666666666666667,-0.97625
0.625,-0.975
0.588235294117647,-0.97625
0.555555555555556,-0.96
0.526315789473684,-0.88625
0.5,-0.91125
0.476190476190476,-0.82625
0.454545454545455,-0.8175
0.434782608695652,-0.5625
0.416666666666667,-0.4925
0.4,0.10625
0.384615384615385,0.1725
0.37037037037037,-0.16125
0.357142857142857,-0.1025
0.344827586206897,0.11375
0.333333333333333,-0.0125
0.32258064516129,0.01875
0.3125,0.03125
0.303030303030303,-0.11
0.294117647058823,-0.045
0.285714285714286,0.1
0.277777777777778,-0.02875
0.27027027027027,-0.07625
0.263157894736842,0.03375
0.256410256410256,0.01
0.25,0.03125
0.24390243902439,0.01
0.238095238095238,0.05375
0.232558139534884,-0.03625
0.227272727272727,-0.04125
0.222222222222222,-0.055
0.217391304347826,0.0325
0.212765957446809,0.015
0.208333333333333,0.00625
0.204081632653061,-0.09875
0.2,0.015
